user,text,Positive,Negative,Neutral,Compound,Sentiment,tokenized,no_stopword,stemmed,lemmatized
LastSafezon3,what about cod mobile and pubg mobile lucky draws they are similar to gambling,0.167,0.0,0.833,0.4215,Positive,"['what', 'about', 'cod', 'mobile', 'and', 'pubg', 'mobile', 'lucky', 'draws', 'they', 'are', 'similar', 'to', 'gambling']",cod mobile pubg mobile lucky draws similar gambling,"['cod', 'mobil', 'pubg', 'mobil', 'lucki', 'draw', 'similar', 'gambl']","['cod', 'mobile', 'pubg', 'mobile', 'lucky', 'draw', 'similar', 'gambling']"
smashbrolink,or dice games  shit theyre going after mario party next,0.163,0.235,0.603,-0.2942,Negative,"['or', 'dice', 'games', 'shit', 'theyre', 'going', 'after', 'mario', 'party', 'next']",dice games shit theyre going mario party next,"['dice', 'game', 'shit', 'theyr', 'go', 'mario', 'parti', 'next']","['dice', 'game', 'shit', 'theyre', 'go', 'mario', 'party', 'next']"
nr_stormy,twitch is actually such a pussy company lmfao,0.333,0.0,0.667,0.5423,Positive,"['twitch', 'is', 'actually', 'such', 'a', 'pussy', 'company', 'lmfao']",twitch actually pussy company lmfao,"['twitch', 'actual', 'pussi', 'compani', 'lmfao']","['twitch', 'actually', 'pussy', 'company', 'lmfao']"
NotPharoah,big dubs at,0.0,0.0,1.0,0.0,Neutral,"['big', 'dubs', 'at']",big dubs,"['big', 'dub']","['big', 'dub']"
speeglet,right now unban mistachrish for a fake fraud claim and respond to his community reaching out for yall to unban them,0.067,0.258,0.674,-0.7269,Negative,"['right', 'now', 'unban', 'mistachrish', 'for', 'a', 'fake', 'fraud', 'claim', 'and', 'respond', 'to', 'his', 'community', 'reaching', 'out', 'for', 'yall', 'to', 'unban', 'them']",right unban mistachrish fake fraud claim respond community reaching yall unban,"['right', 'unban', 'mistachrish', 'fake', 'fraud', 'claim', 'respond', 'communiti', 'reach', 'yall', 'unban']","['right', 'unban', 'mistachrish', 'fake', 'fraud', 'claim', 'respond', 'community', 'reach', 'yall', 'unban']"
luczinnx,lmao theres no way,0.429,0.242,0.33,0.4019,Positive,"['lmao', 'theres', 'no', 'way']",lmao theres way,"['lmao', 'there', 'way']","['lmao', 'theres', 'way']"
BrolyIkari,ridiculous so gambling is prohibited  but this is not prohibited,0.0,0.137,0.863,-0.1901,Negative,"['ridiculous', 'so', 'gambling', 'is', 'prohibited', 'but', 'this', 'is', 'not', 'prohibited']",ridiculous gambling prohibited prohibited,"['ridicul', 'gambl', 'prohibit', 'prohibit']","['ridiculous', 'gamble', 'prohibit', 'prohibit']"
ABDULHA88517733,great,0.804,0.0,0.196,0.6249,Positive,['great'],great,['great'],['great']
MasterHamsters,wait before this only ends up affecting mario party streams,0.213,0.0,0.787,0.4019,Positive,"['wait', 'before', 'this', 'only', 'ends', 'up', 'affecting', 'mario', 'party', 'streams']",wait ends affecting mario party streams,"['wait', 'end', 'affect', 'mario', 'parti', 'stream']","['wait', 'end', 'affect', 'mario', 'party', 'stream']"
JudgementalO,the fact it took big streamers to point this out is the problem twitch knew this was happenin and did noth,0.0,0.109,0.891,-0.4019,Negative,"['the', 'fact', 'it', 'took', 'big', 'streamers', 'to', 'point', 'this', 'out', 'is', 'the', 'problem', 'twitch', 'knew', 'this', 'was', 'happenin', 'and', 'did', 'noth']",fact took big streamers point problem twitch knew happenin noth,"['fact', 'took', 'big', 'streamer', 'point', 'problem', 'twitch', 'knew', 'happenin', 'noth']","['fact', 'take', 'big', 'streamer', 'point', 'problem', 'twitch', 'know', 'happenin', 'noth']"
Mattu______,but they will not remove pool streamers because of how much money they make on simps,0.0,0.0,1.0,0.0,Neutral,"['but', 'they', 'will', 'not', 'remove', 'pool', 'streamers', 'because', 'of', 'how', 'much', 'money', 'they', 'make', 'on', 'simps']",remove pool streamers much money make simps,"['remov', 'pool', 'streamer', 'much', 'money', 'make', 'simp']","['remove', 'pool', 'streamer', 'much', 'money', 'make', 'simps']"
RubenMorgado10,lratio,0.0,0.0,1.0,0.0,Neutral,['lratio'],lratio,['lratio'],['lratio']
costasFN,hellooo twitch,0.0,0.0,1.0,0.0,Neutral,"['hellooo', 'twitch']",hellooo twitch,"['hellooo', 'twitch']","['hellooo', 'twitch']"
AJtheAnomaly,well there goes the mr green stream,0.231,0.0,0.769,0.2732,Positive,"['well', 'there', 'goes', 'the', 'mr', 'green', 'stream']",well goes mr green stream,"['well', 'goe', 'mr', 'green', 'stream']","['well', 'go', 'mr', 'green', 'stream']"
svenwittekind,twitch ,0.0,0.0,1.0,0.0,Neutral,['twitch'],twitch,['twitch'],['twitch']
FugoCS,games that arent licensed in the us or other jurisdiction allow sports betting  even if some actio,0.095,0.0,0.905,0.2263,Positive,"['games', 'that', 'arent', 'licensed', 'in', 'the', 'us', 'or', 'other', 'jurisdiction', 'allow', 'sports', 'betting', 'even', 'if', 'some', 'actio']",games arent licensed us jurisdiction allow sports betting even actio,"['game', 'arent', 'licens', 'us', 'jurisdict', 'allow', 'sport', 'bet', 'even', 'actio']","['game', 'arent', 'license', 'us', 'jurisdiction', 'allow', 'sport', 'bet', 'even', 'actio']"
Commando501,gotteeeeeeem,0.0,0.0,1.0,0.0,Neutral,['gotteeeeeeem'],gotteeeeeeem,['gotteeeeeeem'],['gotteeeeeeem']
ugustindv,big w,0.0,0.0,1.0,0.0,Neutral,"['big', 'w']",big w,"['big', 'w']","['big', 'w']"
GoostiGoosta,finally,0.0,0.0,1.0,0.0,Neutral,['finally'],finally,['final'],['finally']
Laoeeo1,poker with the eternal w,0.0,0.0,1.0,0.0,Neutral,"['poker', 'with', 'the', 'eternal', 'w']",poker eternal w,"['poker', 'etern', 'w']","['poker', 'eternal', 'w']"
milk_cookies16,wow you actually did something im actually shocked,0.29,0.176,0.534,0.3612,Positive,"['wow', 'you', 'actually', 'did', 'something', 'im', 'actually', 'shocked']",wow actually something im actually shocked,"['wow', 'actual', 'someth', 'im', 'actual', 'shock']","['wow', 'actually', 'something', 'im', 'actually', 'shock']"
nftrixnet,so u also prohibit any stock or investment related content in the future id hope,0.172,0.0,0.828,0.4404,Positive,"['so', 'u', 'also', 'prohibit', 'any', 'stock', 'or', 'investment', 'related', 'content', 'in', 'the', 'future', 'id', 'hope']",u also prohibit stock investment related content future id hope,"['u', 'also', 'prohibit', 'stock', 'invest', 'relat', 'content', 'futur', 'id', 'hope']","['u', 'also', 'prohibit', 'stock', 'investment', 'relate', 'content', 'future', 'id', 'hope']"
Lordthoraxis,,0.0,0.0,1.0,0.0,Neutral,[],,[],[]
mastermanson,switchlifebr mais um bom motivo pra vc ter recusado,0.0,0.0,1.0,0.0,Neutral,"['switchlifebr', 'mais', 'um', 'bom', 'motivo', 'pra', 'vc', 'ter', 'recusado']",switchlifebr mais um bom motivo pra vc ter recusado,"['switchlifebr', 'mai', 'um', 'bom', 'motivo', 'pra', 'vc', 'ter', 'recusado']","['switchlifebr', 'mais', 'um', 'bom', 'motivo', 'pra', 'vc', 'ter', 'recusado']"
allthewayPat,w,0.0,0.0,1.0,0.0,Neutral,['w'],w,['w'],['w']
Riskazer27,zerator thomlmb,0.0,0.0,1.0,0.0,Neutral,"['zerator', 'thomlmb']",zerator thomlmb,"['zerat', 'thomlmb']","['zerator', 'thomlmb']"
Saintocki,you fell of,0.0,0.0,1.0,0.0,Neutral,"['you', 'fell', 'of']",fell,['fell'],['fell']
abxo707,wow that will stop gamblers from gambling  thank you twitch  and keep them entertained with soft porn ,0.331,0.081,0.588,0.7783,Positive,"['wow', 'that', 'will', 'stop', 'gamblers', 'from', 'gambling', 'thank', 'you', 'twitch', 'and', 'keep', 'them', 'entertained', 'with', 'soft', 'porn']",wow stop gamblers gambling thank twitch keep entertained soft porn,"['wow', 'stop', 'gambler', 'gambl', 'thank', 'twitch', 'keep', 'entertain', 'soft', 'porn']","['wow', 'stop', 'gambler', 'gamble', 'thank', 'twitch', 'keep', 'entertain', 'soft', 'porn']"
Silverfoxplays,is poki the ceo at this point some of us like gambling streams  ban the shitty hot tub streams,0.093,0.278,0.63,-0.7177,Negative,"['is', 'poki', 'the', 'ceo', 'at', 'this', 'point', 'some', 'of', 'us', 'like', 'gambling', 'streams', 'ban', 'the', 'shitty', 'hot', 'tub', 'streams']",poki ceo point us like gambling streams ban shitty hot tub streams,"['poki', 'ceo', 'point', 'us', 'like', 'gambl', 'stream', 'ban', 'shitti', 'hot', 'tub', 'stream']","['poki', 'ceo', 'point', 'us', 'like', 'gamble', 'streams', 'ban', 'shitty', 'hot', 'tub', 'stream']"
LegitimateLee,now do camming,0.0,0.0,1.0,0.0,Neutral,"['now', 'do', 'camming']",camming,['cam'],['camming']
Akira_Kamiyama_,based now get rid of the fuckin camgirl section and the site is on the right track to being decent,0.0,0.0,1.0,0.0,Neutral,"['based', 'now', 'get', 'rid', 'of', 'the', 'fuckin', 'camgirl', 'section', 'and', 'the', 'site', 'is', 'on', 'the', 'right', 'track', 'to', 'being', 'decent']",based get rid fuckin camgirl section site right track decent,"['base', 'get', 'rid', 'fuckin', 'camgirl', 'section', 'site', 'right', 'track', 'decent']","['base', 'get', 'rid', 'fuckin', 'camgirl', 'section', 'site', 'right', 'track', 'decent']"
CrystalEdits,finally thank u,0.556,0.0,0.444,0.3612,Positive,"['finally', 'thank', 'u']",finally thank u,"['final', 'thank', 'u']","['finally', 'thank', 'u']"
OXP_Handball,what a joke you got some other content that you need to focus on removingbanning,0.136,0.0,0.864,0.296,Positive,"['what', 'a', 'joke', 'you', 'got', 'some', 'other', 'content', 'that', 'you', 'need', 'to', 'focus', 'on', 'removingbanning']",joke got content need focus removingbanning,"['joke', 'got', 'content', 'need', 'focus', 'removingban']","['joke', 'get', 'content', 'need', 'focus', 'removingbanning']"
lennzrt,als nchstes hot tub verbieten,0.0,0.0,1.0,0.0,Neutral,"['als', 'nchstes', 'hot', 'tub', 'verbieten']",als nchstes hot tub verbieten,"['al', 'nchstes', 'hot', 'tub', 'verbieten']","['al', 'nchstes', 'hot', 'tub', 'verbieten']"
koudkoud_,a veut dire que le gros lardon de teufeurs ne pourra plus streamer ,0.0,0.188,0.812,-0.4588,Negative,"['a', 'veut', 'dire', 'que', 'le', 'gros', 'lardon', 'de', 'teufeurs', 'ne', 'pourra', 'plus', 'streamer']",veut dire que le gros lardon de teufeurs ne pourra plus streamer,"['veut', 'dire', 'que', 'le', 'gros', 'lardon', 'de', 'teufeur', 'ne', 'pourra', 'plus', 'streamer']","['veut', 'dire', 'que', 'le', 'gros', 'lardon', 'de', 'teufeurs', 'ne', 'pourra', 'plus', 'streamer']"
GenshinEmperor,about damn time,0.0,0.499,0.501,-0.4574,Negative,"['about', 'damn', 'time']",damn time,"['damn', 'time']","['damn', 'time']"
donhaleks,tisma0311 lucaspaquayy,0.0,0.0,1.0,0.0,Neutral,"['tisma', '0311', 'lucaspaquayy']",tisma 0311 lucaspaquayy,"['tisma', '0311', 'lucaspaquayi']","['tisma', '0311', 'lucaspaquayy']"
liedtkebrandon1,you didnt address the whole issue  big fail,0.0,0.346,0.654,-0.6408,Negative,"['you', 'didnt', 'address', 'the', 'whole', 'issue', 'big', 'fail']",didnt address whole issue big fail,"['didnt', 'address', 'whole', 'issu', 'big', 'fail']","['didnt', 'address', 'whole', 'issue', 'big', 'fail']"
Gabrielmoun,i have never seen an investment program like crypto coin pump louisbenzo41 always put smile on my face eve,0.217,0.0,0.783,0.6124,Positive,"['i', 'have', 'never', 'seen', 'an', 'investment', 'program', 'like', 'crypto', 'coin', 'pump', 'louisbenzo', '41', 'always', 'put', 'smile', 'on', 'my', 'face', 'eve']",never seen investment program like crypto coin pump louisbenzo 41 always put smile face eve,"['never', 'seen', 'invest', 'program', 'like', 'crypto', 'coin', 'pump', 'louisbenzo', '41', 'alway', 'put', 'smile', 'face', 'eve']","['never', 'see', 'investment', 'program', 'like', 'crypto', 'coin', 'pump', 'louisbenzo', '41', 'always', 'put', 'smile', 'face', 'eve']"
JayRolliens2020,hey thats good so what are you going to do about the girl that literally had sex during a live stream on y,0.112,0.0,0.888,0.4404,Positive,"['hey', 'thats', 'good', 'so', 'what', 'are', 'you', 'going', 'to', 'do', 'about', 'the', 'girl', 'that', 'literally', 'had', 'sex', 'during', 'a', 'live', 'stream', 'on', 'y']",hey thats good going girl literally sex live stream,"['hey', 'that', 'good', 'go', 'girl', 'liter', 'sex', 'live', 'stream']","['hey', 'thats', 'good', 'go', 'girl', 'literally', 'sex', 'live', 'stream']"
HylotlWater,nice now focus on racism and transphobia and sexism and homophobia and so much more,0.134,0.196,0.67,-0.3182,Negative,"['nice', 'now', 'focus', 'on', 'racism', 'and', 'transphobia', 'and', 'sexism', 'and', 'homophobia', 'and', 'so', 'much', 'more']",nice focus racism transphobia sexism homophobia much,"['nice', 'focus', 'racism', 'transphobia', 'sexism', 'homophobia', 'much']","['nice', 'focus', 'racism', 'transphobia', 'sexism', 'homophobia', 'much']"
FallenEncore,loot boxes going to come under this,0.0,0.0,1.0,0.0,Neutral,"['loot', 'boxes', 'going', 'to', 'come', 'under', 'this']",loot boxes going come,"['loot', 'box', 'go', 'come']","['loot', 'box', 'go', 'come']"
PojkeSjo,rare twitch w,0.0,0.0,1.0,0.0,Neutral,"['rare', 'twitch', 'w']",rare twitch w,"['rare', 'twitch', 'w']","['rare', 'twitch', 'w']"
Clone93893306,xd,0.819,0.0,0.181,0.6739,Positive,['xd'],xd,['xd'],['xd']
MeilleurSoldat1,go youtube,0.0,0.0,1.0,0.0,Neutral,"['go', 'youtube']",go youtube,"['go', 'youtub']","['go', 'youtube']"
rosevovyl_,,0.0,0.0,1.0,0.0,Neutral,[],,[],[]
rosevovyl_,twitch the monkey,0.0,0.0,1.0,0.0,Neutral,"['twitch', 'the', 'monkey']",twitch monkey,"['twitch', 'monkey']","['twitch', 'monkey']"
ChristinaDonot,finally thank god,0.722,0.0,0.278,0.6351,Positive,"['finally', 'thank', 'god']",finally thank god,"['final', 'thank', 'god']","['finally', 'thank', 'god']"
fecx11,would be good u guys ban that hot tub soft porn shit too,0.163,0.389,0.448,-0.7213,Negative,"['would', 'be', 'good', 'u', 'guys', 'ban', 'that', 'hot', 'tub', 'soft', 'porn', 'shit', 'too']",would good u guys ban hot tub soft porn shit,"['would', 'good', 'u', 'guy', 'ban', 'hot', 'tub', 'soft', 'porn', 'shit']","['would', 'good', 'u', 'guy', 'ban', 'hot', 'tub', 'soft', 'porn', 'shit']"
Talkingwooper,ok so could you next start being fair to men and women thatd be great thanks,0.469,0.0,0.531,0.8885,Positive,"['ok', 'so', 'could', 'you', 'next', 'start', 'being', 'fair', 'to', 'men', 'and', 'women', 'thatd', 'be', 'great', 'thanks']",ok could next start fair men women thatd great thanks,"['ok', 'could', 'next', 'start', 'fair', 'men', 'women', 'thatd', 'great', 'thank']","['ok', 'could', 'next', 'start', 'fair', 'men', 'woman', 'thatd', 'great', 'thanks']"
420Giga,lmao,0.796,0.0,0.204,0.5994,Positive,['lmao'],lmao,['lmao'],['lmao']
MeilleurSoldat1,ok mani,0.524,0.0,0.476,0.296,Positive,"['ok', 'mani']",ok mani,"['ok', 'mani']","['ok', 'mani']"
SweeperBot_,tant mieux occupezvous aussi   des hottubs  merci davance,0.0,0.0,1.0,0.0,Neutral,"['tant', 'mieux', 'occupezvous', 'aussi', 'des', 'hottubs', 'merci', 'davance']",tant mieux occupezvous aussi des hottubs merci davance,"['tant', 'mieux', 'occupezv', 'aussi', 'des', 'hottub', 'merci', 'davanc']","['tant', 'mieux', 'occupezvous', 'aussi', 'de', 'hottubs', 'merci', 'davance']"
iLikeBrainwaves,now that im awake and im reading this again i think this is more a ban for trainwreckstv and xqc eee,0.0,0.163,0.837,-0.5984,Negative,"['now', 'that', 'im', 'awake', 'and', 'im', 'reading', 'this', 'again', 'i', 'think', 'this', 'is', 'more', 'a', 'ban', 'for', 'trainwreckstv', 'and', 'xqc', 'eee']",im awake im reading think ban trainwreckstv xqc eee,"['im', 'awak', 'im', 'read', 'think', 'ban', 'trainwreckstv', 'xqc', 'eee']","['im', 'awake', 'im', 'reading', 'think', 'ban', 'trainwreckstv', 'xqc', 'eee']"
